Date, Open, High, Low, Close
06/10/22, 0.7097, 0.7139, 0.7038, 0.7051
06/09/22, 0.7203, 0.7203, 0.7092, 0.7098
06/08/22, 0.7233, 0.7236, 0.7175, 0.7192
06/07/22, 0.7194, 0.7242, 0.7157, 0.7230
06/06/22, 0.7207, 0.7232, 0.7186, 0.7195
06/03/22, 0.7265, 0.7283, 0.7202, 0.7207
06/02/22, 0.7175, 0.7270, 0.7141, 0.7264
06/01/22, 0.7176, 0.7230, 0.7155, 0.7174
05/31/22, 0.7197, 0.7204, 0.7149, 0.7177
05/30/22, 0.7165, 0.7201, 0.7153, 0.7196
05/27/22, 0.7100, 0.7167, 0.7090, 0.7160
05/26/22, 0.7089, 0.7110, 0.7057, 0.7099
05/25/22, 0.7105, 0.7120, 0.7035, 0.7087
05/24/22, 0.7108, 0.7114, 0.7057, 0.7108
05/23/22, 0.7043, 0.7127, 0.7042, 0.7110
05/20/22, 0.7049, 0.7073, 0.7002, 0.7040
05/19/22, 0.6956, 0.7073, 0.6952, 0.7050
05/18/22, 0.7027, 0.7048, 0.6949, 0.6954
05/17/22, 0.6970, 0.7041, 0.6966, 0.7028
05/16/22, 0.6935, 0.6983, 0.6873, 0.6971
05/13/22, 0.6854, 0.6942, 0.6854, 0.6940
05/12/22, 0.6937, 0.6954, 0.6829, 0.6856
05/11/22, 0.6938, 0.7054, 0.6928, 0.6938
05/10/22, 0.6951, 0.6987, 0.6911, 0.6939
05/09/22, 0.7081, 0.7082, 0.6944, 0.6953
05/06/22, 0.7114, 0.7135, 0.7061, 0.7077
05/05/22, 0.7259, 0.7267, 0.7077, 0.7112
05/04/22, 0.7095, 0.7266, 0.7088, 0.7260
05/03/22, 0.7049, 0.7147, 0.7046, 0.7096
05/02/22, 0.7074, 0.7083, 0.7029, 0.7052
04/29/22, 0.7096, 0.7180, 0.7058, 0.7062
04/28/22, 0.7126, 0.7163, 0.7055, 0.7098
04/27/22, 0.7123, 0.7191, 0.7102, 0.7127
04/26/22, 0.7177, 0.7230, 0.7118, 0.7125
04/25/22, 0.7254, 0.7258, 0.7135, 0.7179
04/22/22, 0.7373, 0.7378, 0.7234, 0.7243
04/21/22, 0.7450, 0.7458, 0.7364, 0.7370
04/20/22, 0.7369, 0.7459, 0.7369, 0.7451
04/19/22, 0.7350, 0.7400, 0.7344, 0.7376
04/18/22, 0.7391, 0.7418, 0.7342, 0.7348
04/15/22, 0.7418, 0.7424, 0.7391, 0.7394
04/14/22, 0.7451, 0.7469, 0.7397, 0.7419
04/13/22, 0.7457, 0.7475, 0.7392, 0.7455
04/12/22, 0.7418, 0.7494, 0.7399, 0.7453
04/11/22, 0.7454, 0.7466, 0.7413, 0.7416
04/08/22, 0.7481, 0.7493, 0.7426, 0.7460
04/07/22, 0.7511, 0.7521, 0.7466, 0.7479
04/06/22, 0.7577, 0.7594, 0.7486, 0.7512
04/05/22, 0.7542, 0.7662, 0.7535, 0.7578
04/04/22, 0.7499, 0.7557, 0.7482, 0.7544
04/01/22, 0.7483, 0.7525, 0.7472, 0.7501
03/31/22, 0.7509, 0.7518, 0.7470, 0.7485
03/30/22, 0.7506, 0.7537, 0.7502, 0.7511
03/29/22, 0.7490, 0.7518, 0.7455, 0.7508
03/28/22, 0.7504, 0.7541, 0.7466, 0.7492
03/25/22, 0.7513, 0.7537, 0.7495, 0.7516
03/24/22, 0.7499, 0.7529, 0.7466, 0.7514
03/23/22, 0.7468, 0.7508, 0.7450, 0.7498
03/22/22, 0.7400, 0.7473, 0.7375, 0.7471
03/21/22, 0.7425, 0.7426, 0.7373, 0.7401
03/18/22, 0.7376, 0.7419, 0.7362, 0.7414
03/17/22, 0.7290, 0.7394, 0.7282, 0.7375
03/16/22, 0.7194, 0.7297, 0.7180, 0.7289
03/15/22, 0.7188, 0.7228, 0.7166, 0.7196
03/14/22, 0.7295, 0.7300, 0.7186, 0.7187
